City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,turpan,42.9333,89.1667,3.9,37,15,0.26,CN,1701513882
188,tateyama,34.9833,139.8667,11.32,49,27,2.67,JP,1701513882
189,uturoa,-16.7333,-151.4333,27.2,75,80,6.89,PF,1701513883
190,nizhnesortymskiy,62.4397,71.7603,-20.7,99,97,3.42,RU,1701513883
191,fortaleza,-3.7227,-38.5247,29.48,72,75,4.63,BR,1701513725
192,gadzhiyevo,69.2551,33.3362,-10.11,96,96,2.09,RU,1701513885
193,kone,-21.0595,164.8658,24.87,78,59,1.46,NC,1701513885
194,ippy,6.2679,21.2247,33.72,40,50,1.17,CF,1701513885
195,badger,64.8,-147.5333,-21.05,81,100,0.0,US,1701513886
196,langepas,61.2544,75.2124,-18.57,99,96,1.33,RU,1701513886
197,changli,39.7042,119.1506,0.97,31,0,2.47,CN,1701513887
198,masterton,-40.9597,175.6575,15.49,74,100,1.85,NZ,1701513887
199,corner brook,48.9667,-57.9484,-1.91,96,29,1.36,CA,1701513790
200,waddan,29.1614,16.139,25.5,13,97,6.08,LY,1701513888
201,rovnoye,50.7765,46.0509,0.45,76,100,7.14,RU,1701513889
202,diego de almagro,-26.3667,-70.05,16.02,50,0,0.5,CL,1701513889
203,teguise,29.0605,-13.564,19.12,78,75,8.23,ES,1701513890
204,nieuw amsterdam,5.8833,-55.0833,25.01,93,20,0.0,SR,1701513891
205,shawinigan,46.5668,-72.7491,0.58,93,100,2.06,CA,1701513891
206,mundri,-6.9558,111.71,26.71,82,100,2.91,ID,1701513892
207,san patricio,28.017,-97.5169,17.13,81,100,2.12,US,1701513892
208,lerwick,60.1545,-1.1494,0.0,67,76,1.97,GB,1701513842
209,inari,68.906,27.0288,-20.89,99,99,1.17,FI,1701513893
210,niafunke,15.9322,-3.9906,33.12,11,68,5.76,ML,1701513894
211,puerto real,36.5282,-6.1901,14.09,72,0,1.54,ES,1701513894
212,mangalia,43.8,28.5833,17.47,72,6,8.22,RO,1701513895
213,coquimbo,-29.9533,-71.3436,13.85,88,100,1.03,CL,1701513895
214,beau vallon,-20.4189,57.6953,24.13,94,75,2.57,MU,1701513896
215,zaragoza,41.6561,-0.8773,10.45,59,75,6.26,ES,1701513400
216,tabas,33.5959,56.9244,21.51,22,2,2.86,IR,1701513897
217,brookings,44.3114,-96.7984,-4.9,68,0,5.14,US,1701513898
218,yokadouma,3.5167,15.05,31.26,49,94,1.0,CM,1701513898
